Episode Number,URL,Notes ,Live ID (Live Streaming),Media ID (VOD),Title,Description,Tags,Sponsor,Streaming?,Talent,Moderator,Session Start Time,Session End Time,O&O Plays,O&O Uniques,O&O Completes,O&O Time (hours),O&O AVG Time Per Viewer (sec)
,https://www.essence.com/wp-admin/post.php?post=1059767&action=edit,Not in Airtable?,,,Jawara Panel,,"#EFOC2026, #BC, #BC0705",,Streaming & VOD,,,,,,,,,
,https://www.essence.com/wp-admin/post.php?post=1059769&action=edit,Not in Airtable?,,,Naked Beauty Podcast Taping: ft. Brooke Devard + Meg The Stallion,,"#EFOC2026, #BC, #BC0705",,Streaming & VOD,,,,,,,,,
,https://www.essence.com/wp-admin/post.php?post=1059772&action=edit,Not in Airtable?,,,Texture on The Runway,A 20 minute fashion show focused on the diversity of textured hair featuring New Orleans based Hair and Make Up artists.,"#EFOC2026, #BC, #BC0705",,Streaming & VOD,,,,,,,,,
,,,Book Festival: ESSENCE Authors ,,,,,,,,,,,,,,,
1,https://www.essence.com/wp-admin/post.php?post=1061212&action=edit,,,,From Ancestral Memory to Literary Futures with New Orleans Writers,"Moderated by Michelle Jackson, founder of Black Ink Festival, poet Sunni Patterson, historian Freddi Williams Evans, and chef Toya Boudy explore how ancestral memory shapes New Orleans storytelling across language, history, and food.Moderated by Michelle Jackson, founder of Black Ink Festival, poet Sunni Patterson, historian Freddi Williams Evans, and chef Toya Boudy explore how ancestral memory shapes New Orleans storytelling across language, history, and food. Powered by Community Book Center founder Vera Warren Williams.",,,,,,,,,,,,
2,https://www.essence.com/wp-admin/post.php?post=1059775&action=edit,,,,The Archive Is Us: A Conversation with Anayo Awuzie,"Every Black woman's story is worth preserving — and Anayo Awuzie built an entire magazine and a book to prove it. In this warm, celebratory conversation, the founder of Carefree Magazine opens up about Black Women In Bloom and the deeply personal mission behind her life's work: creating spaces where Black women see themselves celebrated, archived, and cherished in their full complexity. Come ready to feel seen, honored, and reminded that your story matters.","#EFOC2026, #EA, #EA0705",,VOD,"Anayo Awuzie
Moderator: Alexis Bennett Parker
",,,,,,,,
3,https://www.essence.com/video/mamas-at-work-unfiltered/,,,,Mamas at Work: Unfiltered,"Tisha Campbell knows what sacrifice looks like up close: Raising children, navigating her oldest son's autism diagnosis before the world had language for it, and holding a career together through it all. The actress speaks on her new book. what it took to get her son to the independent and thriving place he is today, and a new season that's all about her, and centers her joy.","#EFOC2026, #EA, #EA0705",,VOD,"Tisha Campbell
Host: Victoria Uwumarogie",,,,,,,,
4,https://www.essence.com/wp-admin/post.php?post=1061216&action=edit,,,,Storytime: Morning Comes: A Mardi Gras Indian Story,Big Chief Juan Pardo will read When the Morning Comes: A Mardi Gras Indian Story. ,"#EFOC2026, #EA, #EA0705",,,,,,,,,,,
5,https://www.essence.com/wp-admin/post.php?post=1059779&action=edit,,,,In Conversation with Rep. Jim Clyburn,"Jim Clyburn has spent more than three decades in Congress — but he's quick to tell you he wasn't the first. Eight Black congressmen from South Carolina served during and after Reconstruction, and history all but forgot them. At a time when that erasure is no longer accidental, his new book The First Eight is an act of reclamation.","#EFOC2026, #EA, #EA0705",,VOD,"Rep. Jim Clyburn
Moderator: Bridgette Bartlett Royall",,,,,,,,
6,https://www.essence.com/wp-admin/post.php?post=1059781&action=edit,,,,"Faith, Family, The Stories We Carry","Dr. Lyons speaks on the wounds we receive from our mothers, and how to heal from them. As a mental health practitioner, she balances having faith with seeking professional help.","#EFOC2026, #EA, #EA0705",,VOD,"Dr. Sarita Lyons, Albaner Eugene Jr., Joshua Giles",,,,,,,,
,,,,,Post-Session Author Signing,"Opportunity to connect with Dr. Sarita Lyons, author of Honor Thy Mother, and book signings with Albaner Eugene Jr. and Joshua Giles, authors of Momentum and Shift Your Life.",,,,,,,,,,,,
8,https://www.essence.com/video/women-the-workforce-laws-of-success-in-leadership/,,,,Women & the Workforce: Laws of Success in Leadership,"The authors behind The Little Black Book Of Success have been CEOs and top level executives. In their new book and on the Authors Stage, they share ways for Black women to build self confidence and implement the tools necessary to become the next leaders in C-Suite.","#EFOC2026, #EA, #EA0705",,VOD,"Elaine Meryl Brown and Rhonda Joy McLean 
Moderator: Bridgette Bartlett Royall",,,,,,,,
,,,,,Post-Session Author Signing,"Book signing with Elaine Meryl Brown and Rhonda Joy McLean, authors of The Next Little Black Book of Success.",,,,,,,,,,,,
10,https://www.essence.com/wp-admin/post.php?post=1061222&action=edit,,,,"Capitalism, Reimagined: A Fireside Chat with Dr. Rachel Laryea","Is ""Black Capitalist"" a contradiction — or a blueprint? Join Dr. Rachel Laryea, Wall Street alum turned Yale-trained anthropologist, for a conversation on her book Black Capitalists: A Blueprint for What Is Possible, exploring how Black visionaries are reimagining what it means to build wealth without losing yourself in the process.",,,,,,,,,,,,
,,,,,Post-Session Author Signing,"Book signing with author Dr. Rachel Laryea, behind Black Capitalists: A Blueprint for What Is Possible.",,,,,,,,,,,,
12,https://www.essence.com/video/braided-beauties-rooted-in-pride/,,,,Braided Beauties: Rooted in Pride,"We're living in the age of the CROWN Act, and still, Black girls are being told too early that something about them needs to be fixed. From box braids to to cornrows and a wealth of natural styles in between, our hair has always carried a message about who we are and where we come from. So how do we raise a generation of Black girls who know their beauty is never up for debate?","#EFOC2026, #EA, #EA0705",,VOD,"Jaylene Clark Owens (PRH confirm timing)  - 2nd slot
Kim Kimble???
Moderator: Akili King
",,,,,,,,
,,,,,Post-Session Author Signing,"Book signing for Jaylene Clark Owens, author of A Black Girl and Her Braids.",,,,,,,,,,,,
14,https://www.essence.com/video/what-it-takes-to-beat-the-odds/,,,,What It Takes to Beat the Odds,"The memoir and devotional authors on what it means to persevere, believe, and keep going against great odds.","#EFOC2026, #EA, #EA0705",,VOD,"Calvin Duncan (The
Jailhouse Lawyer ), Albaner Eugene Jr. (Momentum )",,,,,,,,
,,,,,Post-Signing Author Signing,"Book signing with Calvin Duncan, author of The Jailhouse Lawyer, and opportunities to connect once more with authors Joshua Giles and Albaner Eugene Jr, authors of Shift Your Life and Momentum. Advanced copies will be available of Momentum.",,,,,,,,,,,,
15,https://www.essence.com/wp-admin/post.php?post=1059801&action=edit,,,,ESSENCE Writing Contest Winner,"What if the story you've been sitting on is the one someone else has been waiting to read? Join entrepreneur, community builder, and winner of Essence's 2025 Writing Contest Cole Banks for an pursuing your passions and how staying true to your voice and purpose can lead to new opportunities on the page and off.","#EFOC2026, #EA, #EA0705",,VOD,Cole Banks,,,,,,,,
,,,,,Photo Session,Photo moments for ESSENCE Writing Contest Winner Cole Banks and Storehouse Voices.,,,,,,,,,,,,
,https://www.essence.com/wp-admin/post.php?post=1059785&action=edit,Not in airtable?,,,"Sunday Economics: Black Capital, Black Strategy","In a system that was never built for us, how do we navigate it? Laryea says reimagine it from the inside. Livingston says know when to play, when to push, and when to walk away entirely. What works best for you? Description TBD","#EFOC2026, #EA, #EA0705",,VOD,"Rachel Laryea 
Rachel Rogers (HarperCollins)
Anthony O'Neal (ESSENCE to confirm)
",,,,,,,,
,,,Food and Wine,,,,,,,,,,,,,,,
1,https://www.essence.com/video/sunday-cookoff-gumbo-vs-jambalaya-showdown/,,,,Sunday Cookoff: Gumbo VS Jambalaya Showdown,"It's a battle for New Orleans bragging rights as two beloved Louisiana classics go head-to-head in the ultimate Sunday Cook-Off. Join these chefs as the show their skills, creativity, and passion through two of the city's most iconic dishes: gumbo and jambalaya.
With flavor, technique, authenticity, and presentation on the line, each chef will put their own signature spin on these celebrated staples while honoring the rich culinary traditions of New Orleans. Judges will taste, deliberate, and ultimately decide who earns the title of Sunday Cook-Off Champion.
Filled with culture, competition, laughter, and plenty of Louisiana flavor, this entertaining showdown celebrates the food traditions that have made New Orleans one of the world's great culinary capitals.","#EFOC2026, #FW, #FW0705",,VOD,"Host/Judges: (1) Tailor Payton, Hungry Home Girl
(2)  LOCAL JUDGE (PENDING)
(3) QUAD WEBB (Pending)  

Competitors: 
Chef 1: Chef Ashley Jonique 
Chef 2: Chef Bunny Young Vaucresson’s Creole Cafe and Deli 
Chef 3: Orlean Brothers ",,,,,,,,
2,https://www.essence.com/video/bold-lives-here-celebrating-nola-flavor-with-popeyes/,,,,Bold Lives Here: Celebrating NOLA Flavor with Popeyes,"Born in New Orleans, Popeyes has long been a part of the culture, flavor, and traditions that make Louisiana special. Bold Lives Here: Celebrating NOLA Flavor with Popeyes brings those connections to life through an engaging conversation between ESSENCE Girls United Content Editor Danielle Wright and Reginae Carter, celebrating bold stories, cultural pride, and the unforgettable flavors and memories rooted in New Orleans","#EFOC2026, #FW, #FW0705",,VOD,"Reginae Carter 
Moderator: Danielle Wright
",,,,,,,,
3,https://www.essence.com/video/angela-simmons-is-serving-cake/,,,,Angela Simmons Is Serving Cake (UPDATED),"Entrepreneur, wellness advocate, and founder Angela Simmons takes a seat for an intimate fireside chat about turning a passion for healthier living into a growing food business. Joined by host Victoria Uwumarogie, Angela will discuss the inspiration behind her vegan pancake mix and sweet treats brand, the journey from concept to consumer, and the lessons she's learned building a business rooted in wellness, authenticity, and purpose.
From entrepreneurship and product development to balancing business, family, and personal growth, this candid conversation offers an inside look at what it takes to bring a vision to life. Expect honest insights, inspiring stories, and plenty of conversation about creating delicious plant-based products that make healthier choices accessible and enjoyable for everyone.","#EFOC2026, #FW, #FW0705",,VOD,"Host: Victoria Uwumarogie
Panelists: Angela Simmons 

",,,,,,,,
4,https://www.essence.com/video/on-the-menu-new-orleans-runs-on-food-or-new-orleans-the-most-delicious-city-on-earth/,,,,On the Menu: New Orleans Runs on Food OR New Orleans: The Most Delicious City on Earth (UPDATED TITLES),"Food as cultural identity, NOLA-rooted.

Few cities tell their story through food quite like New Orleans. In this engaging conversation, culinary historian Jessica B. Harris, restaurateur and author Alexander Smalls, and cultural icon Big Freedia explore how food serves as a powerful expression of identity, heritage, community, and culture in one of America's most beloved culinary destinations.
From family recipes and neighborhood traditions to the African, Caribbean, Indigenous, and European influences that shaped the city's cuisine, this discussion examines why New Orleans remains a global food capital. Through personal stories, cultural insights, and reflections on the role food plays in preserving history and bringing people together, panelists will celebrate the flavors, people, and traditions that make New Orleans unlike anywhere else in the world.
More than a conversation about what's on the plate, this session is a tribute to the culture, creativity, and community that make New Orleans the most delicious city on earth.","#EFOC2026, #FW, #FW0705",,VOD,"Host: In HOUSE EDITORIAL VOICE 
Panelists: Jessica B. Harris 
Alexander Smalls
Big Freedia ",,,,,,,,
5,https://www.essence.com/video/lets-toast-the-art-of-the-mocktail/,,,,Let's Toast: The Art of the Mocktail,"A fun and simple demo, a few experts in the sobriety scene share the essential ingredients to making a mocktail that will please palates and blow your traditional alcohol-filled concoction out of the water.","#EFOC2026, #FW, #FW0705",,VOD,"Moderator: 
Tailor Payton, Hungry Home Girl
Talent: 
Medase Cocktails Zero Proof (Monica)  
Maria Castillo Franklin ",,,,,,,,
6,https://www.essence.com/video/mommy-and-me-meals-with-teyana-taylor/,,,,Mommy and Me Meals with Teyana Taylor (UPDATED) BRAXTON HOLD,"The Chief Curator for EFOC is joined by her mother, Nikki, and her daughters, Rue and Junie. Three generations will take the stage for a conversation about what's been passed down from kitchen to kitchen in their family, Teyana's journey to culinary school, and what goes into feeding the people you love.  The conversation will take place over a demo, as the ladies (and the little ladies) make a meal, or bake a treat that has become a staple in the star's home. The soon-to-be chef is putting her culinary chops to the test for the people she loves most.","#EFOC2026, #FW, #FW0705",,VOD,"Host: TBD
Talent: Teyana Taylor, Nikki Taylor, Rue Rose, Junie",,,,,,,,
7,https://www.essence.com/video/nola-bites-curated-by-chef-nina-compton/,,,,NOLA Bites Curated by Chef Nina Compton,"Three-chef NOLA conversation.

Pull up a seat for a flavorful conversation celebrating the people, stories, and traditions behind New Orleans' legendary food culture. Curated by Chef Nina Compton, this engaging discussion brings together Nina, Edgar ""Dook"" Chase IV, and Chef Isaac Toups for a candid look at the city's ever-evolving culinary landscape.
From preserving family legacies and honoring tradition to pushing boundaries and defining the future of New Orleans cuisine, these celebrated chefs and restaurateurs will share personal stories, professional insights, and the experiences that have shaped their journeys. Together, they'll explore what makes New Orleans one of the world's great food cities and how its rich culinary heritage continues to inspire new generations of chefs and food lovers.
Equal parts storytelling, culture, and culinary passion, NOLA Bites offers a unique perspective on the flavors, history, and community that make New Orleans unforgettable.","#EFOC2026, #FW, #FW0705",,VOD,"Curator: Nina Compton

Panelist: Edgar ""Dook"" Chase IV
Panelist: Chef Isaac Toups",,,,,,,,
8,https://www.essence.com/video/the-soul-of-soul-food/,,,,The Soul of Soul Food,"Inspired by the feature in our Summer 2026 issue, this conversation is about honoring our culture's beloved dishes and the flavors they're known for, while also showcasing healthier ways to prepare them.","#EFOC2026, #FW, #FW0705",,VOD,"Host: Victoria U
Guest: Chef Kardea Brown; Alternates
Chef Dee Lavigne (Deelightful Roux School)  
Chef Marilyn Doucette 
Lil' Dizzy's Cafe (Nola Local) ",,,,,,,,
9,https://www.essence.com/video/last-call-disappearing-black-bars/,,,,Last Call: Disappearing Black Bars (UPDATED TITLE),L. Kasimu Harris photography project preserving Black bars as neighborhood cultural meeting points (MOMA-collected).,"#EFOC2026, #FW, #FW0705",,VOD,"Curator: Nina Compton
Talent: L. Kasimu Harris (photographer; MOMA-collected project) ",,,,,,,,
,https://www.essence.com/video/livestream-essence-stage-day-3/,,ESSENCE Stage™,,,,,,,,,,,,,,,
1,essence.com/wp-admin/post.php?action=edit&post=1059822,,,,Get Lifted Gospel,Sunday morning gospel anchor. 75 min.,"#EFOC2026, #ES, #ES0705",,Streaming & VOD,"Talent: Gospel artists; worship leaders
Pastor Mike Jr. ",,5/7/2026 10:00,5/7/2026 11:15,,,,,
2,https://www.essence.com/wp-admin/post.php?post=1060238&action=edit,,,,Instantly Iconic: From Reality TV Rookie to Fan Favorite,"What is it like to join an established cast or to be a part of a spinoff and shake the table by being authentically you? These ladies share what it takes, who their favorite cast members and least favorite cast members have been, reunion pains and answer audience","#EFOC2026, #ES, #ES0705",,,,,,,,,,,
3,https://www.essence.com/wp-admin/post.php?post=1059826&action=edit,,,,"Like Mother, Like Daughter Reality Rewind: Toya & Reginae ","Toya: A Family Affair. My Super Sweet 16. Growing Up Hip Hop: Atlanta. Tiny & Toya. T.I. & Tiny: Friends & Family Hustle. Toya & Reginae. The mother-daughter duo are reality TV legends. The ladies discuss putting their lives in front of the camera since 2009, what they regret, what they’re most grateful for, and how that turned into business, book and acting opportunities that have allowed them to have staying power even when they’re not on our TV screens.
","#EFOC2026, #ES, #ES0705",,Streaming & VOD,"Toya Rushing and Reginae Carter
Moderator: Shelby Stewart",,5/7/2026 13:00,5/7/2026 13:20,,,,,
4,https://www.essence.com/wp-admin/post.php?post=1059828&action=edit,,,,"Disney ""The Power of Joy"": The Magic Behind Meaningful Experiences","Join Disney “The Power of Joy” Creators, Tamica Lee, Funmi Ford, and Kristine Thompson, for an inspiring conversation on how Disney has made a lasting mark on their personal journeys. From unforgettable Disney Experiences at to the stories that resonate beyond the parks and cruises, hear firsthand how immersive and inclusive storytelling can spark meaningful memories, celebrate various perspectives, and bring people together across generations. You won’t want to miss this powerful conversation and surprise giveaways on the ESSENCE Stage! Follow along with #DisneyPowerOfJoy","#EFOC2026, #ES, #ES0705",,Streaming & VOD,"Tamica Lee, Kristine Thompson, Funmi Ford
Moderator:  Jada Young",,5/7/2026 13:35,5/7/2026 13:55,,,,,
5,,,,,AMAZON PRIME,,"#EFOC2026, #ES, #ES0705",,Streaming & VOD,,,,,,,,,
6,https://www.essence.com/video/black-women-in-sports-raising-a-pro/,"SPONSORED POST

Missing sponsor in Airtable ",,,Black Women in Sports: Raising a Pro,"Raising a Pro explores the love, sacrifice, and resilience behind the next generation of NASCAR talent. Featuring the mothers of Rajah Caruth and Lavar Scott, alongside NASCAR leader Latasha Causey and driver Lavar Scott, this conversation examines motherhood, representation, leadership, and the support systems that help turn dreams into reality both on and off the track.","#EFOC2026, #ES, #ES0705",,Streaming & VOD,"Lavar Scott -  NASCAR O'Reilly Auto Parts Series Driver; Sonia Scott- Mother of NASCAR Driver Lavar Scott; Samantha Caruth - Mother of NASCAR Driver Rajah Caruth
Latasha Causey -NASCAR Phoenix Raceway President",,5/7/2026 15:20,5/7/2026 15:40,,,,,
7,https://www.essence.com/video/prevent-and-protect-heal-from-the-inside-out/,,,,Prevent and Protect: Heal From the Inside Out,"We are sicker, diagnosed later, and dismissed more often, and that's not an accident. Three voices in Black health and wellness sit down to talk about what it really takes to be well, from what we eat to how we listen to our body and ways we can advocate for ourselves in the doctor's office.","#EFOC2026, #ES, #ES0705",,Streaming & VOD,O'Neil Pyke (Rich request) + Dr. ShantaQuilette Develle (Shanta Q) + Tracy Piper (possibly T-Boz),,5/7/2026 15:55,5/7/2026 16:15,,,,,
,https://www.essence.com/video/building-community-first-platforms-people-actually-need/,Not in AIrtable?,,,Building “Community First” Platforms People Actually Need,"In an era where audiences are fragmented and attention is harder than ever to earn, the most successful brands, media companies, and communities are being built by leaders who understand connection over content, which build brand loyalty with the community.
Join Roland Martin, Ryan Wilson, Robin Ayers, Detavio Samuels, and Morgan DeBaun for a conversation on how community has become the most valuable asset in modern business and media. From independent journalism and cultural storytelling to membership networks and digital platforms, these leaders have built thriving ecosystems by deeply understanding and serving their audiences.

Together, they’ll explore what it takes to build trust, create lasting influence, monetize community without losing authenticity, and lead platforms that shape culture rather than simply react to it.","#EFOC2026, #ES, #ES0705",,Streaming & VOD,"Rich Dennis
Roland Martin, Ryan Wilson, Robin Ayers, Detavio Samuels, and Morgan DeBaun",,,,,,,,
,,,New Voices Entrepreneur Hub,,,,,,,,,,,,,,,
1,https://www.essence.com/video/from-product-to-placement-getting-into-airport-retail/,,,,From Product to Placement: Getting Into Airport Retail,"Airport retail can open the door to high-volume, global exposure—but getting there requires more than a great product.

This session breaks down what it takes to enter and succeed in airport retail, from securing partnerships and meeting operational requirements to understanding traveler behavior and managing inventory in a fast-paced environment. Speakers will share real experiences, lessons learned, and what founders should consider when building a retail strategy for this highly specialized space.","#EFOC2026, #NVEH, #NVEH0705",,VOD,"Speaker: Taylor Tankson, Tribe & Oak
Speaker: Kareem Wallace, Tribe & Oak
Speaker: Jai-Leta Colvard, Just Jai Wear
Speaker: Adilah Brodie, Brodies Love Enterprise LLC
Host: Patrice Chappelle, MelanBrand Skin",,,,,,,,
2,https://www.essence.com/video/the-civic-catalyst-navigating-policy-and-ecosystem-panel/,,,,The Civic Catalyst: Navigating Policy and Ecosystem Panel,This session will explore how entrepreneurs can leverage government affairs and state-level grants to enhance market positioning and operational resilience. Participants will gain actionable insights into how to leverage economic development programs into sustainable growth levers for their businesses.,"#EFOC2026, #NVEH, #NVEH0705",,VOD,"Speaker: Kristoffer Adams, Gens Politia
Speaker: Representative Shaun Mena, Louisiana House of Representatives, District 23
Speaker: William Hudson, Qualtrics
Host: Aniesia Williams, dreamBloc",,,,,,,,
3,https://www.essence.com/video/legal-considerations-for-entrepreneurs/,,,,Legal Considerations for Entrepreneurs,TBD,"#EFOC2026, #NVEH, #NVEH0705",,VOD,Speaker: Townsend Lockett,,,,,,,,
4,https://www.essence.com/video/building-your-speaker-profile-the-why-and-how/,,,,Building Your Speaker Profile (the why and how),"Speaking can be a powerful driver of visibility, credibility, and business growth—but knowing where to start (and how to position yourself) isn’t always clear.

In this session, we break down the why and how behind building a strong speaker profile. From clarifying your message and identifying the right opportunities to positioning yourself for stages that align with your work, this conversation will explore what it takes to grow your presence as a speaker.

Featuring panelists from our Learning Lab™ LIVE session, this discussion brings real-world insight, practical strategies, and lessons learned from founders who are actively building and leveraging their speaker platforms.","#EFOC2026, #NVEH, #NVEH0705",,VOD,"Speaker: Michael Franklin, Words Normalize Behavior
Host: Quinn Conyers, Speak to Society",,,,,,,,
5,https://www.essence.com/video/real-talk-beyond-the-crisis-from-emotional-crash-out-to-cash-flow-capital-strategy/,,,,REAL TALK: Beyond the Crisis: From Emotional Crash-Out to Cash Flow & Capital Strategy,"Too often, founders wait until they hit a wall to seek capital. This session addresses the tactical and emotional shifts needed to move from reactive crisis management to proactive and perpetual scaling. 

We will dive into the essential KPIs and cash flow cycles every founder must master to anticipate funding needs before they become urgent. Beyond the numbers, we also will explore the ""bandwidth and mindset"" gaps, tackling the pride and fear that often block entrepreneurs from reaching out for help. Join us to learn how to prepare your business for investment and build the strategic relationships for long-term growth.","#EFOC2026, #NVEH, #NVEH0705",,VOD,"Speaker: Ensa Huger, NVF Capital
Speaker: Casey Dike', Blaze Group
Speaker: Marie Clark, New Voices Foundation
Host: Mabel Frías, Read Fragrances",,,,,,,,
6,https://www.essence.com/video/new-voices-retail-roundtable-mini-pitches/,,,,New Voices Retail Roundtable & Mini-pitches,"Learn what it takes to prepare your brand for retail success during a candid conversation with buyers and industry experts, followed by founder mini-pitches designed to provide actionable feedback and connection opportunities.","#EFOC2026, #NVEH, #NVEH0705",,VOD,"Speaker: TBD
Host: Kimberly Lee Minor, WOC Retail Alliance ",,,,,,,,
,,,NEW VOICES VILLAGE™,,,,,,,,,,,,,,,
1,https://www.essence.com/video/adeola-wright-of-julo-shop-at-founder-feature-in-the-new-voices-village/,,,,Adeola Wright of Julo Shop at Founder Feature in the New Voices Village,"Meet Adeola Wright of Julo Shop at Founder Feature. Connect directly with entrepreneurs, discover new products and services, and hear the stories behind the businesses they’re building throughout the weekend. 

Founder: Adeola Wright, Julo Shop","#EFOC2026, #NVV, #NVV0705",,VOD,"Adeola Wright, Julo Shop",,,,,,,,
2,https://www.essence.com/video/vie-beauty/,,,,Vie Beauty,"Meet the founders behind your favorite brands and services at Founder Feature! Connect directly with entrepreneurs, discover new products and services, and hear the stories behind the businesses they’re building throughout the weekend.","#EFOC2026, #NVV, #NVV0705",,VOD,"Jasmine Lewis, Vie Beauty",,,,,,,,
3,https://www.essence.com/video/institute-for-entrepreneurial-leadership-ifel/,,,,Institute for Entrepreneurial Leadership (IFEL),"Join live demonstrations and hands-on workshops in Makers’ Studio to discover products, learn new skills, and connect directly with founders and entrepreneurs.","#EFOC2026, #NVV, #NVV0705",,VOD,"Jill Johnson, Institute for Entrepreneurial Leadership (IFEL)",,,,,,,,
4,https://www.essence.com/video/pedi-licious-footwear-care-llc/,,,,Pedi Licious Footwear/Care LLC,"Join live demonstrations and hands-on workshops in Makers’ Studio to discover products, learn new skills, and connect directly with founders and entrepreneurs.","#EFOC2026, #NVV, #NVV0705",,VOD,"Premise Martin, Pedi Licious Footwear/Care LLC",,,,,,,,
5,https://www.essence.com/video/tribe-oak/,,,,Tribe & Oak,"Meet the founders behind your favorite brands and services at Founder Feature! Connect directly with entrepreneurs, discover new products and services, and hear the stories behind the businesses they’re building throughout the weekend.","#EFOC2026, #NVV, #NVV0705",,VOD,"Taylor Tankson & Kareem Wallace, Tribe & Oak",,,,,,,,
6,https://www.essence.com/video/focus-frame-eyewear/,,,,Focus & Frame Eyewear,"Meet the founders behind your favorite brands and services at Founder Feature! Connect directly with entrepreneurs, discover new products and services, and hear the stories behind the businesses they’re building throughout the weekend.","#EFOC2026, #NVV, #NVV0705",,VOD,"Brittney Adams, Focus & Frame Eyewear",,,,,,,,
7,https://www.essence.com/video/the-house-of-genesis/,,,,The House of Genesis,"Join live demonstrations and hands-on workshops in Makers’ Studio to discover products, learn new skills, and connect directly with founders and entrepreneurs.","#EFOC2026, #NVV, #NVV0705",,VOD,"Tashyra Ayers, The House of Genesis",,,,,,,,
8,https://www.essence.com/video/trufacebygrace/,,,,TruFaceByGrace,"Meet the founders behind your favorite brands and services at Founder Feature! Connect directly with entrepreneurs, discover new products and services, and hear the stories behind the businesses they’re building throughout the weekend.","#EFOC2026, #NVV, #NVV0705",,VOD,"Grace Yeboah Ofori, TruFaceByGrace",,,,,,,,
