Episode Number,URL,Notes ,Live ID (Live Streaming),Media ID (VOD),Title,Description,Tags,Sponsor,Streaming?,Talent,Moderator,Session Start Time,Session End Time,O&O Plays,O&O Uniques,O&O Completes,O&O Time (hours),O&O AVG Time Per Viewer (sec)
6,https://www.essence.com/video/in-conversation-with-tayari-jones/↗,,,,In Conversation with Tayari Jones,"Few writers capture the complexity of Black American life its relationships, its tensions, its tenderness — quite like Tayari Jones. In this intimate fireside conversation, the celebrated author joins us to discuss Kin, her latest work of literary fiction and a profound exploration of the ties that bind us, break us, and ultimately bring us back to ourselves. For anyone who has ever loved deeply and complicated, this conversation is for you.
","#EFOC2026, #EA, #EA0704",,VOD,"Tayari Jones
Moderator: Bridgette Bartlett Royall",,,,,,,,
,,,,,Post-Session Author Signing,"Book signing with Tayari Jones, author of Kin.",,,,,,,,,,,,
8,https://www.essence.com/wp-admin/post.php?post=1060119&action=edit,Talent Info Incomplete,,,"The Myth, The Magic, The Misunderstood","The authors behind two new fantasy and mythology stories that turn mythical figures into relatable Black women, adding more dimension to their characters to make them more human and endearing.","#EFOC2026, #EA, #EA0704",,VOD,"Ayana Gray, (is Kayla Hardy available?)
Moderator: Rhyann Sampson
",,,,,,,,
,,,,,Post-Session Author Signing,"Book signing with Ayana Gray, author of I, Medusa.",,,,,,,,,,,,
10,https://www.essence.com/wp-admin/post.php?post=1060126&action=edit,,,,In Conversation with Amy DuBois Barnett,"The former editor-in-chief of Ebony magazine sits down with Essence Features Editor Bridgette Bartlett Royal to talk about her debut novel If I Ruled the World — a sharp, glamorous, and deeply personal story set in the late '90s New York City publishing world. Equal parts ambition and survival, the book follows a Black editor fighting to save a hip-hop magazine in an industry that wasn't built with her in mind. Think The Devil Wears Prada — but Blacker, bolder, and with a soundtrack to match. Barnett draws from her own journey through the corridors of power, weaving together themes of race, ambition, and what it really costs to hold your ground in a boys' club. The result is a novel dripping in '90s nostalgia, industry glamour, and hard-won truth.","#EFOC2026, #EA, #EA0704",,VOD,"Amy DuBois Barnett
HOST: Bridgette Bartlette Royall ",,,,,,,,
11,essence.com/wp-admin/post.php?action=edit&post=1060133,,,,From the Body to the Heart: A Healing Conversation with Dr. Sarita Lyons,"Healing is rarely just one thing — and Dr. Sarita Lyons has never pretended otherwise. In this intimate fireside chat, the author of Honor Thy Mother sits down to explore the full landscape of Black women's wellness — from the emotional inheritance of complicated mother relationships to the deeper work of reclaiming wholeness from the inside out.
","#EFOC2026, #EA, #EA0704",,VOD,Dr. Sarita Lyons,,,,,,,,
,,,,,Post-Session Author Signing,"Book signing opportunity with Dr. Sarity Lyons, author of Honor Thy Mother. Advanced copies will be available.",,,,,,,,,,,,
13,https://www.essence.com/wp-admin/post.php?post=1060138&action=edit,,,,Derrick Barnes Fireside: The Incredibly Human Henson Blayze,"In this fireside chat, the celebrated children's book author sits down to talk about The Incredibly Human Henson Blayze — a story that reminds young readers of something they should never forget: that being fully, authentically human is its own kind of superpower.","#EFOC2026, #EA, #EA0704",,VOD,,,,,,,,,
14,https://www.essence.com/video/prevent-protect-black-women-and-womb-suffering/↗,,,,Prevent & Protect: Black Women and Womb Suffering,"Black women have been taught to push through the pain, and medicine has been more than happy to let them. From fibroids to endometriosis to heavy bleeding that stops life in its tracks, the conditions affecting the Black womb have been undertreated, under-researched, and dismissed for generations. Dr. Kemi Doll is here to name what that silence has cost us, and hand us the tools to demand better.","#EFOC2026, #EA, #EA0704",,VOD,"Dr. Kemi Doll
Host: Bridgette Bartlett Royall


",,,,,,,,
,,,,,Post-Session Author Signing,"Book signing opportunity with Dr. Kemi Doll, author of A Terrible Strength.",,,,,,,,,,,,
16,https://www.essence.com/video/black-love-on-the-page/↗,,,,Black Love On The Page,"Black Love is not a monolithic story. HBCUs, wealthy heirs, Black cowboys.These aren't the settings we usually see in romance. We ask these romance authors where they pull these romance stories from, if that was a conscious act of resistance, or if the story they created just demanded that world.","#EFOC2026, #EA, #EA0704",,VOD,"Panel: Alexa Martin, Kristina Forest, and Ebony LaDelle (TBD)

Moderator: Bridgette Bartlett Royall",,,,,,,,
,,,,,Post-Session Author Signing,"Book signing opportunity with Alexa Martin, author of By the Bootstraps, and Kristina Forest, author of The Summer Girlfriend.",,,,,,,,,,,,
18,https://www.essence.com/video/literary-fiction-writing-relationships/↗,,,,Literary Fiction: Writing Relationships,"Romantic love gets all the ink — but Téa Mutonji and Ashton Lattimore are writing about something just as complicated. Their new books put friendship and family at the center, and they're sitting down to talk about what it takes to document the relationships that shape us most.","#EFOC2026, #EA, #EA0704",,VOD,"Téa Mutonji, Ashton Lattimore
Moderator: Bridgette Bartlett Royall",,,,,,,,
,,,,,Post-Session Author Signing,"Book signing with Ashton Lattimore, author of All Were Promised.",,,,,,,,,,,,
,https://www.essence.com/wp-admin/post.php?post=1060056&action=edit,Not in Airtable?,,,Community Kids Spotlight,Community Book Center kids’ programming,"#EFOC2026, #EA, #EA0704",,VOD,,,,,,,,,
,https://www.essence.com/wp-admin/post.php?post=1060618&action=edit,Not in Airtable?,,,YA Next Gen Legends,Roundtable discussion (showcase independent author),"#EFOC2026, #EA, #EA0704",,VOD,,,,,,,,,
,,,Food and Wine,,,,,,,,,,,,,,,
1,https://www.essence.com/video/the-essence-cookoff-beignet-battle/↗,Talent Incomplete,,,The Essence Cookoff: Beignet Battle,"Beignet competition.
Get ready for a sweet showdown as talented chefs put their skills to the test in the ultimate Beignet Battle. Just these chefs as they  create their most delicious and inventive takes on the beloved New Orleans classic.
From traditional recipes to bold modern twists, competitors will showcase their creativity, technique, and flavor while celebrating one of the city's most iconic treats. A panel of judges will evaluate each creation on taste, presentation, originality, and execution before crowning the Beignet Battle Champion. Expect friendly competition, plenty of powdered sugar, and a celebration of the rich culinary traditions that make New Orleans a food lover's paradise.","#EFOC2026, #FW, #FW0704",,VOD,"Host/Moderator: Buku Triece 
JUDGES: (1)  JJsimmons VeryLight (NOLA)    
(2) Tamsy - tamlovestoeat (PENDING)
(3) Chef Rozi Sweets NY

CONFIMED: Chef Ken Polk (Batter & Berries Chicago)
CONFIRMED: 
Competitors: 2 pastry chefs
Vallery Lomas and ",,,,,,,,
2,https://www.essence.com/wp-admin/post.php?post=1060178&action=edit#:~:text=https%3A//www.essence.com/video/feed%2Dyour%2Ddesire%2Dfood%2Das%2Dan%2Daphrodisiac%2Ddemo/%E2%86%97,Talent Incomplete,,,Feed Your Desire: Food As an Aphrodisiac DEMO (UPDATED),"Turn up the heat in the kitchen as host joins relationship and sexuality expert for an interactive cooking demonstration exploring the foods, flavors, and ingredients often associated with romance, intimacy, and desire.

As delicious dishes are prepared live on stage, the conversation will dive into the history and science behind popular aphrodisiac ingredients, the role food plays in setting the mood, and how shared culinary experiences can foster deeper connection. Blending culinary inspiration, expert insights, and engaging conversation, this flavorful demonstration offers a fun and sophisticated look at the intersection of food, wellness, romance, and pleasure.

From decadent bites to sensual flavors, guests will discover how food can delight the senses and create memorable moments both in and out of the kitchen.       ","#EFOC2026, #FW, #FW0704",,VOD,"Host: Toya Rushing (CONFIRMED)
Expert: (PENDING) Unbothered and Well 

Chef 1: Chef Ashley Jonique (CONFIRMED)
Chef 2: Maria Castillo Franklin (CONFIRMED)
",,,,,,,,
3,https://www.essence.com/video/the-business-of-food-pop-up-to-permanent/↗,Verify Talent,,,The Business of Food: Pop-Up to Permanent,"From pop-up to permanent restaurant: the business path.
What does it take to turn a food concept into a thriving business? Join moderator Chef Ashley Jonique of Let That Girl Cook for an insightful conversation with culinary entrepreneurs who have successfully navigated the journey from pop-ups, food stalls, and passion projects to brick-and-mortar success. Featuring Holmes, Broussard, Derry, and Mychel ""Snoop"" Dillard of Dillard Hospitality, this panel will explore the realities of building a food business, securing funding, developing a loyal customer base, and creating a brand that stands the test of time.
Beyond opening the doors, the conversation will dive into the challenges and opportunities of growth and scaling—from expanding operations and managing teams to maintaining quality, culture, and profitability while meeting increasing demand. Whether you're an aspiring restaurateur, food entrepreneur, or simply curious about the business behind your favorite dining destinations, this session offers practical advice, candid lessons learned, and inspiration from leaders who transformed their culinary vision into sustainable, growing enterprises.","#EFOC2026, #FW, #FW0704",,VOD,"Moderator:  Chef Ashley Jonique
Panelists: Holmes; Broussard; Derry
Mychel ""Snoop"" Dillard, Dillard Hospitality (CONFIRMED)",,,,,,,,
4,https://www.essence.com/video/the-essence-cookoff-hurricane-royale/↗,,,,The Essence Cookoff: Hurricane Royale,"Let the cocktails flow as the ESSENCE Cook-Off puts a spirited spin on one of New Orleans' most iconic drinks. In this lively Hurricane cocktail competition, two talented bartenders will go head-to-head, each crafting their own signature take on the legendary Crescent City classic. From bold flavors and creative ingredients to technique, presentation, and personality, competitors will showcase their mixology skills while paying homage to a cocktail deeply rooted in New Orleans culture.","#EFOC2026, #FW, #FW0704",,VOD,"Moderator/Judge: Krystal Garner (Confirmed) 
Judge: Toya Rushing 
Judge:  Mr. Happy Hour
Contestent: (1) Eve Marie Haydel 
(2) Jas Rodgers, The Pour Decisions Collective
(3) Meet Me at The Bar ",,,,,,,,
5,https://www.essence.com/video/on-the-menu-the-master-of-the-grill/↗,,,,On the Menu: The Master of the Grill,"Fire, flavor, and fierce competition take center stage as two culinary heavyweights go head-to-head in the ultimate grilling battle. Chef Ken Polk of Chicago's beloved Batter & Berries faces off against Chef Taquilla Brown of WOW Turkey in a high-energy showdown that celebrates the art of live-fire cooking.","#EFOC2026, #FW, #FW0704",,VOD,"Host: WILD WAYNE 
Judges:  (1) Tamsy - tamlovestoeat (Back up) 
(2)  Kortlynn Jenae’
(3) WILD WAYNE or Gee
 
Talent: 2 pitmasters 
Chef 1: Chef Taquilla Brown of WOW TURKEY
Chef 2: Chef Ken Polk (CONFIRMED)",,,,,,,,
6,,,,,Farm to Table to Community,,"#EFOC2026, #FW, #FW0704",,VOD,"Moderator:  IN HOUSE 
Panelists: 2 Black farmers; 
 Chef -- Chef Yesenia + Randy Ramdass PENDING
Email: events@healthyasamotha.com
Phone (Cell): 646.462.8923 [Yesenia, Chef/Owner]
https://haamnyc.com/
Adam Mcfarland Farm 
https://www.gogreennola.org/communitygardens/",,,,,,,,
7,https://www.essence.com/video/lets-toast-the-blacker-the-berry/↗,Description Incomplete,,,Let's Toast: The Blacker the Berry,"Raise a glass to the visionaries redefining the wine industry. This engaging conversation brings together trailblazing Black winemakers and wine entrepreneurs Donae Burston of La Fête du Rosé, Tia Clarke of Roman Clarke Wines, and Alaitra McGrone of AVM Wine Company to discuss their journeys, their brands, and the growing impact of Black ownership in the world of wine.
Moderated by an ESSENCE editorial voice or Mr. Happy Hour, the discussion will explore everything from winemaking and entrepreneurship to representation, storytelling, and building businesses that honor culture and community. Panelists will share insights on navigating the industry, creating distinctive wine brands, and introducing new audiences to the world of wine while challenging traditional perceptions of who belongs in the space.
Whether you're a wine enthusiast, aspiring entrepreneur, or simply curious about the stories behind the bottle, this conversation offers an inspiring look at innovation, ownership, and the future of Black excellence in wine.","#EFOC2026, #FW, #FW0704",,VOD,"Moderator: IN HOUSE EDITORIAL OR MR HAPPY HOUR
Panelists: Donae Burston, La Fete Rose 
Tia Clarke (Roman Clarke Wines - NOLA local)
Alaitra McGrone AVM Wine Company (CONFIRMED)",,,,,,,,
8,https://www.essence.com/video/rum-running-and-resistance/↗,,,,Rum-Running and Resistance,"From colonial trade routes to modern spirits brands, rum has long been intertwined with stories of survival, resistance, entrepreneurship, and cultural identity across the African diaspora. Join us as we explore the history, influence, and evolution of rum culture.","#EFOC2026, #FW, #FW0704",,VOD,"Moderator: Krystal Garner (CONFIRMED) 
Panelists: Ashton Lattimore; beverage historian (PENDING) + Charly Pierre - Haitian Rum (PENDING)
MONTE BURROW, SPIRITS EXECUTIVE  (CONFIRMED) ",,,,,,,,
9,https://www.essence.com/video/craft-nina-compton-curated/↗,Talent Info Incomplete,,,Craft · Nina Compton Curated,"Join acclaimed chefs Nina Compton and Marcus Samuelsson for an intimate conversation exploring the art, discipline, and purpose behind a life in food. From their early influences and culinary journeys to building celebrated restaurants and global brands, these two culinary visionaries will reflect on the experiences that shaped their careers and the craft that continues to drive their success.

Through stories of culture, creativity, leadership, and perseverance, Nina and Marcus will discuss what it takes to evolve as a chef while staying connected to heritage, community, and purpose. This inspiring conversation offers a rare opportunity to hear from two of the most influential voices in food as they share lessons learned, define excellence on their own terms, and explore the future of hospitality and culinary innovation.","#EFOC2026, #FW, #FW0704",,VOD,"Chef Nina Compton and NOTABLE PERSON HERE - RESHAPING HERE NOW 
",,,,,,,,
,,,ESSENCE Stage™,,,,,,,,,,,,,,,
1,https://www.essence.com/video/reclaim-with-essence-dance-cardio/↗,,,,Reclaim with ESSENCE: Dance Cardio (Live Workout,"Start the day with a twerk. A high impact workout class to open up Saturday with sounds by beloved New Orleans, TwerkNola
","#EFOC2025, #ES, #ES0704",,Streaming & VOD,,,4/7/2026 10:30,4/7/2026 10:50,,,,,
2,https://www.essence.com/video/mara-brock-akil-fireside-the-revelation-of-dionne-daphne/↗,,,,Mara Brock Akil Fireside: The Revelation of Dionne Daphne (DEBUT),Mara's debut novel fireside; separate from her Sat BF curator role at 1:00pm (100min gap).,"#EFOC2026, #ES, #ES0704",,Streaming & VOD,"Talent: Mara Brock Akil
Interviewer: Sherri Shepherd
Note: Per v10 BF Authors on Other Stages reference",,4/7/2026 11:00,4/7/2026 11:20,,,,,
3,https://www.essence.com/video/all-rhyme-all-reason-with-the-cast-of-fxs-the-drop-a-snowfall-saga/↗,,,,"All rhyme, all reason with the cast of FX’s “The Drop: A Snowfall Saga”","FX’s “The Drop: A Snowfall Saga” picks up in the early ’90s, in the aftermath of “Snowfall” and at the birth of West Coast hip-hop. Set against a moment when music, culture and community collide to create something entirely new, the series follows a story of family, ambition and identity — and the drive to build a legacy on your own terms.","#EFOC2026, #ES, #ES0704",,Streaming & VOD,"Gail Bean, Isaiah John, Asante Blackk, Peyton Alex Smith, Simmie ""Buddy"" Simms III
Moderator: Kelley Carter",,4/7/2026 12:00,4/7/2026 12:20,,,,,
4,https://www.essence.com/video/real-talk-fibroids-presented-by-always/↗,,,,"Real Talk: Fibroids, presented by Always","A stage talk that moves the fibroid conversation from whispered to public. Expect real answers and real strategies from key voices in Black women's health — leading clinicians, advocates, and women living with fibroids who refuse to keep the conversation quiet.","#EFOC2026, #ES, #ES0704",Always,Streaming & VOD,"Dr. Veronica Gillispie-Bell, MD, MAS
Sateria Venable, Founder & CEO, The Fibroid Foundation
Angel Beasley, Executive Director of Merchandising Health and Wellness, CVS Health
Alexzandra Spatholt, Always Scientist, Research & Development Director
Dr. Charis Chambers - “The Period Doctor” | OB-GYN, Author & Speaker",,4/7/2026 12:30,4/7/2026 12:50,,,,,
5,https://www.essence.com/wp-admin/post.php?post=1060228&action=edit,,,,Made Like This: Becoming,"Pamela Brown and guest explore the choices, values, and relationships that shape a life that feels meaningfully your own. 
","#EFOC2026, #ES, #ES0704",Target,Streaming & VOD,Pamela Brown + Desiree Rogers,,4/7/2026 13:00,4/7/2026 13:20,,,,,
6,https://www.essence.com/video/the-fit-check-with-j-bolin/↗,,,,The Fit Check With J. Bolin,"Interactive: Inspired by his “The Director Series” concept, the stylist for some of your faves will show festivalgoers how certain accessories and styling choices can upgrade a look - Thinking live styling moment where a few people are picked from the audience, he shows them how to take their ensembles up a notch or pieces that would help guest fashions pop.","#EFOC2026, #ES, #ES0704",,Streaming & VOD,"Host: Kory Jarvis
Talent: J. Bolin
",,4/7/2026 13:35,4/7/2026 13:55,,,,,
7,https://www.essence.com/video/if-not-for-my-girls-making-the-cut/↗,,,,“If Not For My Girls:” Making The Cut,"In their third installation of the 8th season of the successful, “If Not For My Girls” franchise, global pop powerhouses and multi-hyphenates, Ryan Destiny and Normani, sit down to discuss the beauty of sisterhood, and give a high-level masterclass on how to navigate “the entertainment machine” without losing your spirit.","#EFOC2026, #ES, #ES0704",,Streaming & VOD,"Ryan Destiny and Normani
Moderated by Sharí Nycole Welton",,4/7/2026 14:10,4/7/2026 14:30,,,,,
8,https://www.essence.com/video/swipe-left-or-right/↗,,,,Swipe Left or Right?,"Experts in dating lead a live dating game where dating dilemmas are presented, and the crowd votes on whether or not the situation would cause them to swipe left or right on a prospective dater. A fun, interactive way to have a conversation about love without a traditional panel setup.","#EFOC2026, #ES, #ES0704",,Streaming & VOD,"Host: Nicole Haynes
TONY GASKINS 
Kendra G ",,4/7/2026 14:45,4/7/2026 15:05,,,,,
9,https://www.essence.com/wp-admin/post.php?post=1061160&action=edit,,,,What They Don't Teach You in Class — The Real Education of an HBCU,"The degree got you in the door. But that's not what prepared you for the room.
There's an unwritten curriculum at every HBCU — one that doesn't show up on a transcript but shapes everything. How to move through predominantly white spaces without losing yourself. How to negotiate your value. How to pour into your community while still filling your own cup. Financial literacy nobody formally taught you. Self-love you didn't know you needed until you found yourself surrounded by people who looked like you and believed in you.
This conversation is for everyone who graduated and realized the most important things they learned had nothing to do with their major.",,,,,,,,,,,,
10,https://www.essence.com/video/yes-girl-teyana-taylor-curates/↗,Entered as Episode 10,,,"Yes, Girl: Teyana Taylor Curates","30 min (exception to 20-min rule). Performer, creative director, cultural curator. Post-divorce professional season. Transition to Keke Palmer at 3:55.","#EFOC2026, #ES, #ES0704",,Streaming & VOD,"Talent: Teyana Taylor; Coco Gilbert
Moderator:",,4/7/2026 15:45,4/7/2026 16:15,,,,,
11,https://www.essence.com/video/the-greatest-unveiled-a-first-look-at-the-upcoming-muhammad-ali-biopic/↗,,,,The Greatest Unveiled: A first Look at the Upcoming Muhammad Ali Biopic,"Amazon MGM Studios pulls back the curtain on its highly anticipated series, The Greatest, chronicling the life of Muhammad Ali. From showrunner and creator Ben Watkins (Cross) and Michael B. Jordan’s Outlier Society, alongside Authentic Studios, Roc Nation, Polygram Entertainment, and Grace: A Storytelling Company, the series explores the extraordinary life of Ali both inside and outside the ring. Starring Jaalen Best as Cassius Clay alongside Omari Hardwick, Dana Gourrier, Amin Joseph, Kai Parham, Michael Ealy, and more, the story reveals the man behind the legend. The world remembers an icon, but The Greatest tells the story of a husband, father, brother, and son. Join us for a conversation on the Mainstage which will feature exclusive announcements and an early look at the making of a global icon—and a first glimpse of the greatness to come.","#EFOC2026, #ES, #ES0704",,Streaming & VOD,"Ben Watkins, Jaalen Best, Dana Gourrier, Amin Joseph, Kai Parham
Moderator: TBD",,4/7/2026 16:15,4/7/2026 16:35,,,,,
,https://www.essence.com/video/instantly-iconic-from-reality-tv-rookie-to-fan-favorite/↗,Not in Airtable,,,Instantly Iconic: From Reality TV Rookie to Fan Favorite,"What is it like to join an established cast or to be a part of a spinoff and shake the table by being authentically you? These ladies share what it takes, who their favorite cast members and least favorite cast members have been, reunion pains and answer audience questions.","#EFOC2026, #ES, #ES0704",,Streaming & VOD,"Quad Webb
Dr. Mimi
Alternate: Stormi Steele (Belle Collective Birmingham)
Stacey Rusch
Hosted by Shelby 
*** MAYBE KANDI HOLD** ",,4/7/2026 15:10,4/7/2026 15:30,,,,,
,,,New Voices Entrepreneur Hub,,,,,,,,,,,,,,,
1,,,,,TBD,TBD,"#EFOC2026, #NVEH, #NVEH0704",,VOD,TBD,,,,,,,,
2,https://www.essence.com/video/beyond-the-build-sustaining-a-community-driven-brand/↗,,,,Beyond the Build: Sustaining a Community-Driven Brand,"Building a community is one thing—sustaining it as your business grows is another.

As brands evolve, so do their communities. What worked early on doesn’t always scale, and founders are often navigating how to maintain connection, stay aligned with their values, and make decisions that support long-term growth.

In this conversation, founders share what it actually takes to sustain a community-driven brand over time—from navigating growth and change to maintaining trust, consistency, and relevance. This session is for founders thinking beyond the early stages and building for longevity.","#EFOC2026, #NVEH, #NVEH0704",,VOD,"Speaker: Lo Williams, Zenistry Labs
Speaker: Arielle Hobdy, Bea's Bayou®️Skincare
Speaker: Tiana Jorman, Grounded Cup
Host: Lauren Strayhorn, Notedd",,,,,,,,
