Episode Number,URL,Notes ,Live ID (Live Streaming),Media ID (VOD),Title,Description,Tags,Sponsor,Streaming?,Talent,Moderator,Session Start Time,Session End Time,O&O Plays,O&O Uniques,O&O Completes,O&O Time (hours),O&O AVG Time Per Viewer (sec)
13,https://www.essence.com/wp-admin/post.php?post=1060459&action=edit,,,,Passion to Profit ft. Cardi B,"A 20 minute stage moment featuring Cardi B followed by a 20 minute Grow Good dedicated moment with a product educator
","#EFOC2026, #BC, #BC0703",,Streaming & VOD,,,3/7/2026 15:30,3/7/2026 15:50,,,,,
,https://www.essence.com/video/partner-in-prime-gu-x-beautycon/,Not in Airtable?,,,Partner in Prime: GU X Beautycon,"Twin flames, dynamic duos and besties across domains  dish on how they elevate each other  and take their friendship and bank accounts to new heights.","#EFOC2026, #BC, #BC0703",,Streaming & VOD,,,,,,,,,
,https://www.essence.com/video/face-off-judged-by-teyanas-team/,Not in Airtable?,,,Face Off: Judged By Teyana's Team,"Professional stylists will go head to head to replicate an iconic beauty look- a few lucky audience members will be chosen to hit the stage and recreate an iconic makeup look inspired by our event theme. Guided by our celebrity makeup artist and fueled by a make up brand sponsor with pro-level products, contestants will have a set amount of time to complete their look live on stage. Once the brushes are down, the audience decides the winner — cheering loudest for their favorite transformation. -- can be tied to TOTR
","#EFOC2026, #BC, #BC0703",,Streaming & VOD,,,,,,,,,
,,,Book Festival: ESSENCE Authors ,,,,,,,,,,,,,,,
1,https://www.essence.com/wp-admin/post.php?post=1061031&action=edit,,,xal65ji,"The Stories We Inherit, The Worlds We Create: Celebrating Black Women New Orleans Writers","Poet Kelly Harris-DeDeBerry joins authors Farrah Rochon and Rhodesia Jackson Douglas for a conversation on inheritance, imagination, and storytelling rooted in New Orleans and Black womanhood. Powered by Community Book Center founder Vera Warren Williams.","#EFOC2026, #EA, #EA0703",,,,,,,,,,,
2,https://www.essence.com/video/from-survival-to-purpose-dr-qiana-oleary-joshua-giles-on-the-road-through/,,,xal65de,(NEW VOICES) From Survival to Purpose: Dr. Qiana O'Leary and Demond Martin on the Road Through,"The setbacks were never meant to stop you — they were meant to shift you. Dr. Qiana O'Leary and Demond Martin bring Beautiful Burdens and Friends of the Good into conversation for a bold, empowering exchange about breaking out of survival mindset, navigating grief and unexpected detours with emotional intelligence, and finding the momentum to keep moving toward the life you were always meant to live.","#EFOC2026, #EA, #EA0703",,VOD,"Dr. Qiana O'Leary
??? Demond Martin (PRH)???  6/26 note
Moderator: Bridgette Bartlett Royall
",,,,,,,,
,,,,,Post-Session Author Signings,"Dr. Qiana O'Leary and Demond Martin, authors of Beautiful Burdens and Friends of the Good.","#EFOC2026, #EA, #EA0703",,,,,,,,,,,
4,https://www.essence.com/video/i-identify-as-all-of-the-above/,,,xal7xse,I Identify as All of the Above,"Nobody explores the intersection of Blackness, disability, and identity quite like Lachi — and she does it with a whole lot of wit. Drawing from her book I Identify as Blind, this conversation digs into what it means to move through the world carrying identities that the mainstream has long tried to minimize, and why reclaiming all of them is the most powerful thing you can do. Funny, sharp, and deeply affirming — this is a session you will not stop talking about.","#EFOC2026, #EA, #EA0703",,VOD,"Lachi
Téa Mutonji 
Moderator: Alexis Bennett-Parker
",,,,,,,,
5,,,,,Book Signing With Marley Dias,"Book signing with author and activist Marley Dias for her first picture book, I Am the Dream Come True.","#EFOC2026, #EA, #EA0703",,,,,,,,,,,
6,https://www.essence.com/wp-admin/post.php?post=1058416&action=edit,,,,Storytime: A Black Girl and Her Braids,"From box braids to cornrows and everything in between, A Black Girl and Her Braids is a love letter to Black hair in all its glory. Author Jaylene Clark Owens brings her viral poem to life in this colorful, affirming storytime experience celebrating the beauty that crowns us. This is a moment for families to gather, read together, and feel seen.","#EFOC2026, #EA, #EA0703",,VOD,Jaylene Clark Owens,,,,,,,,
7,,,,,Post-Session Author Signing,Book signing moment for Lachi and Téa Mutonji. Advanced copies will be available of My Person.,"#EFOC2026, #EA, #EA0703",,,,,,,,,,,
8,https://www.essence.com/wp-admin/post.php?post=1058413&action=edit,,,xal7xlm,What America Still Owes At 250,"Two hundred and fifty years in, America is still being asked to reckon with itself — and this conversation isn't letting it off the hook. Damario Solomon-Simmons and Dorothy A. Brown bring their scholarship, their urgency, and their unflinching clarity to a discussion about race, history, and what it will truly take to redeem and repair this nation. As the country marks its semiquincentennial, this is the panel that asks the question everyone else is dancing around: free for whom, and at what cost?","#EFOC2026, #EA, #EA0703",,VOD,"Damario Solomon-Simmons 
Nikole Hannah-Jones
Virginia W. Harris 
Moderator: Bridgette Bartlette Royall ",,,,,,,,
9,,,,,Post-Session Author Signing,"Book signing with Damario Solomon-Simmons and opportunity to connect with Nikole Hannah-Jones, authors of Redeem a Nation and The 1619 Project.","#EFOC2026, #EA, #EA0703",,,,,,,,,,,
10,https://www.essence.com/wp-admin/post.php?post=1058420&action=edit,,,xal6aem,From Viral to Published: A Fireside Chat with Reesa Teesa,"She started with a camera, a microphone, and something to say — and the internet has never been the same. In this intimate fireside chat, Tareasa ""Reesa Teesa"" Johnson sits down to talk about the wild, rewarding, and deeply personal journey from viral content creator to published author. From the TikTok series that stopped the world mid-scroll to the pages of her book, Reesa Teesa has proven something the internet already suspected: her story, told in her own voice, was always worth more than a few million views.","#EFOC2026, #EA, #EA0703",,VOD,"Tareasa “Reesa Teesa” Johnson;  
Second Panelist: TBD",,,,,,,,
11,,,,,Post-Session Author Signing,"Book signing with Tareasa ""Reesa Teesa"" Johnson, author of What (TF) Do I Do Now. Advanced copies will be available.","#EFOC2026, #EA, #EA0703",,,,,,,,,,,
12,https://www.essence.com/wp-admin/post.php?post=1058422&action=edit,,,,(NIKOLE HANNAH JONES CURATED) A Letter to Black Women in a Country that Doesn't Love Us,"Shortly after the election where a white nationalist president defeated the nation's first Black woman Democratic presidential nominee, memes flew across the internet of Black women sipping wine while the nation burned down. The memes felt cathartic -- we had voted against Trump at the highest rates of all groups. But we also knew it would never happen. Black women understand more than anyone the costs of sitting it out, and yet we are so weary of being asked again and again to save this country from itself. This dynamic panel of some of our most beloved and searing public voices will speak to the heartache and resilience of being a Black woman in a country that doesn't love us.","#EFOC2026, #EA, #EA0703",,VOD,"Tiffany Cross 
Jamilah Lemieux (PRH)
Michelle Miller 
",,,,,,,,
13,https://www.essence.com/wp-admin/post.php?post=1061046&action=edit,,,,Storytime: Congo Square: African Roots in New Orleans,Author Freddie Williams Evans who will take young readers on a journey through Congo Square and African history. ,"#EFOC2026, #EA, #EA0703",,,,,,,,,,,
14,,,,,Post-Session Author Signing,"Book signing and opportunity to connect with talent from A Letter to Black Women in a Country That Doesn't Love Us panel, including Jamilah Lemieux, author of Black. Single. Mother.","#EFOC2026, #EA, #EA0703",,,,,,,,,,,
15,https://www.essence.com/wp-admin/post.php?post=1058424&action=edit,,,,How to Stop Waiting and Start Building,"Arian Simone didn't just build a business, she built a movement. And in Fearless Freedom, she lays out exactly how she did it, what it cost her, and why she'd do it all again. We sit down with her to talk about the book, the journey, and what freedom really looks like when you've had to fight for it.","#EFOC2026, #EA, #EA0703",,VOD,"Arian Simone
Moderator: TBD",,,,,,,,
16,https://www.essence.com/wp-admin/post.php?post=1058426&action=edit,,,,"Mychal Threets Fireside: I'm So
Happy You're Here (Library Joy) ","What does it mean to fight for joy in a moment that keeps threatening to take it away? Mychal Threets explores that question and so much more in this warm, heartfelt conversation about I'm So Happy You're Here: A Celebration of Library Joy — a book and a movement rooted in the simple, radical idea that belonging is every reader's birthright.","#EFOC2026, #EA, #EA0703",,VOD,"Mychael Threets
",,,,,,,,
17,https://www.essence.com/wp-admin/post.php?post=1058429&action=edit,,,,Intersectional Black Experience,"Amena Brown has never met a box she was willing to stay in — and Lachi has never met a label she couldn't reclaim. Together, these two bring Never Tell A Black Girl How To Black Girl and I Identify as Blind into conversation for a session that celebrates the gloriously layered, never one-size-fits-all reality of being Black, bold, and unapologetically yourself. Expect humor, heart, and at least one moment where you turn to your neighbor like ""she said THAT.""","#EFOC2026, #EA, #EA0703",,VOD,Amena Brown; Lachi,,,,,,,,
18,,,,,Post-Session Author Signing,"Book signing with author Amena Brown, of Never Tell a Black Girl How to Black Girl, as well as a second chance to connect with Lachi and Téa Mutonji.","#EFOC2026, #EA, #EA0703",,,,,,,,,,,
19,essence.com/wp-admin/post.php?action=edit&post=1061051,,,,From the Classroom to Financial Freedom,"Fresh off the June release of The 7-Figure Educator, Thomas breaks down how teachers can turn their classroom expertise into a consulting practice, and start building real wealth.","#EFOC2026, #EA, #EA0703",,,"Dr. Erica Jordan Thomas 
Moderator: Bridgette Bartlett Royall",,,,,,,,
20,,,,,Post-Session Author Signing,"Book signing with Dr. Erica Jordan Thomas, author of 7-Figure Educator.","#EFOC2026, #EA, #EA0703",,,,,,,,,,,
21,https://www.essence.com/wp-admin/post.php?post=1058433&action=edit,,,,Black Political Power in the Second Nadir,"As we gather in New Orleans, we sit at the cusp of the most comprehensive attack on civil rights in a century and an effort to decimate Black political representation like we have not seen since the fall of Reconstruction. Essence authors curator Nikole Hannah-Jones argues we are in the Second Nadir and so she has brought together this panel with some our sharpest minds to help us understand not only what is happening, but the necessity of building Black political power even in the darkest moments.","#EFOC2026, #EA, #EA0703",,VOD,"Kimberle Crenshaw 
W. Jelani Cobb
Moderator: TBD",,,,,,,,
22,https://www.essence.com/video/pleasure-principles/,,,,Pleasure Principles,"Ericka Hart didn't come to play — she came to liberate. Pleasure Principles dares to ask who pleasure has historically been denied to, and what becomes possible when we finally stop letting those systems win. This conversation is an invitation to explore desire, dismantle shame, and step fully into the kind of fulfillment that was always meant for you. Your body. Your joy. Your rules.","#EFOC2026, #EA, #EA0703",,VOD,"Ericka Hart
Jamilah Lemeiux
",,,,,,,,
,,,,,Post-Session Author Signing,"Book signing with Ericka Hart, author of Nasty Work, and another opportunity to connect with Jamilah Lemieux, author of Black. Single. Mother.","#EFOC2026, #EA, #EA0703",,,,,,,,,,,
,,,Food and Wine,,,,,,,,,,,,,,,
1,https://www.essence.com/video/the-essence-cookoff-reimagining-shrimp-grits-curated-by-chef-nina-compton/,,,,The Essence Cookoff: Reimagining Shrimp & Grits Curated by Chef Nina Compton,"Theme: Reimagining shrimp & grits. Two competing chefs face three judges.

Kick off the ESSENCE Food & Wine experience with an exciting culinary showdown hosted and curated by acclaimed chef, restaurateur, and James Beard Award winner Nina Compton. In this high-energy competition, two talented chefs will put their own spin on one of the South's most beloved dishes: shrimp and grits. Drawing inspiration from New Orleans, the Caribbean, and the broader African diaspora, each chef will reimagine the classic using bold flavors, innovative techniques, and personal storytelling. As the competition heats up, a panel of judges will evaluate each creation based on taste, creativity, presentation, and cultural connection before crowning a winner. 
Blending food, culture, and friendly competition, this lively opening session sets the tone for a weekend celebrating the flavors, traditions, and culinary excellence of Black communities around the world.","#EFOC2026, #FW, #FW0703",,VOD,,,,,,,,,
2,https://www.essence.com/video/taste-of-the-diaspora/,,,,Taste of the Diaspora,"Food and drink tell the story of who we are, where we've been, and how cultures remain connected across generations and continents. Join us as we explore the rich culinary and beverage traditions of the African diaspora. From Africa to the Caribbean and the American South, this engaging discussion will examine how migration, tradition, entrepreneurship, and innovation continue to shape some of the world's most beloved foods and spirits. Through personal stories, cultural influences, and insights from both the kitchen and behind the bottle, these trailblazers will celebrate the flavors, heritage, and shared experiences that unite communities around the table.","#EFOC2026, #FW, #FW0703",,VOD,,,,,,,,,
3,https://www.essence.com/video/nola-kitchen-confidential-curated-by-chef-nina-compton/,,,,NOLA Kitchen Confidential Curated by Chef Nina Compton,"NOLA chefs in conversation about the city's kitchen culture. 
Step inside the heart of New Orleans' culinary scene with curator and acclaimed chef Nina Compton and celebrated chef Kenneth Temple for an unfiltered conversation about the culture, creativity, and traditions that make the city one of the world's most influential food destinations. From neighborhood kitchens and family recipes to the evolution of modern Creole and Southern cuisine, this session explores the stories, people, and flavors that continue to define New Orleans. Expect candid insights, personal experiences, and a deep dive into the passion, resilience, and community that fuel the city's vibrant food culture.","#EFOC2026, #FW, #FW0703",,VOD,,,,,,,,,
4,https://www.essence.com/video/the-essence-cook-off-new-orleans-style-okra-showdown-curated-by-chef-nina-compton/,,,,The ESSENCE Cook-Off: New Orleans Style Okra Showdown Curated by Chef Nina Compton,"Caribbean chefs showcase okra. Afro-Caribbean theme tying NOLA to the diaspora. A staple of New Orleans kitchens and a beloved ingredient throughout the African diaspora, okra takes center stage in this spirited culinary competition curated by Chef Nina Compton. Three talented chefs with roots in the Caribbean and New Orleans will go head-to-head, each creating an original dish that showcases the versatility, flavor, and cultural significance of this iconic ingredient.
Drawing inspiration from Creole, Caribbean, and Southern traditions, competitors will put their own spin on okra while a panel of three esteemed judges evaluates each dish on taste, creativity, technique, and presentation. Who will rise to the occasion and earn the title of ESSENCE Cook-Off Champion?
Filled with bold flavors, friendly rivalry, and plenty of culinary surprises, this high-energy showdown celebrates the rich food traditions that connect New Orleans to the wider African diaspora.","#EFOC2026, #FW, #FW0703",,VOD,,,,,,,,,
5,https://www.essence.com/video/on-the-menu-in-the-kitchen-with-raven-goodwin/,,,,ON THE MENU - In the Kitchen with Raven Goodwin (Updated 6/16/26) - DATE NIGHT FAMILY MOMENT ON THE MENU...,"Food has a way of bringing people together, step into the kitchen with actress, Raven Goodwin for a lively cooking demo as she serves up one of her favorite recipes while sharing the flavors, traditions, and experiences that have shaped her culinary journey. From comfort food favorites to entertaining tips, this engaging demonstration offers festivalgoers a chance to connect with Raven beyond the screen through food, culture, and community.","#EFOC2026, #FW, #FW0703",,VOD,,,,,,,,,
6,https://www.essence.com/video/coca-cola-roots-recipes/,,,,Coca-Cola: Roots & Recipes,"Roots & Recipes - episode live taping
","#EFOC2026, #FW, #FW0703",,VOD,,,,,,,,,
7,https://www.essence.com/video/lets-toast-libations-legacy-ownership/,,,,"Let's Toast: Libations, Legacy & Ownership","Two Black spirits founders on legacy and ownership. Raise a glass to the innovators reshaping the beverage industry. In this engaging fireside chat, Branden J. Peters of Draught Season and Shalanda Jackson, Brewer at Urban South, come together to discuss entrepreneurship, craftsmanship, and the importance of building legacy through ownership. From creating distinctive products to navigating the challenges and opportunities of the brewing and spirits industries, this conversation explores what it means to break barriers, build brands, and create lasting impact. Whether you're a beverage enthusiast, aspiring entrepreneur, or simply curious about the business behind the bottle, this session offers an inspiring look at the future of Black ownership in the world of beer and spirits.","#EFOC2026, #FW, #FW0703",,VOD,,,,,,,,,
8,https://www.essence.com/video/cooking-from-scratch-with-toya-boudy/,,,,Cooking From Scratch With Toya Boudy,"Inspired by Summer 2026 issue story. New Orleans native Toya Boudy makes one of the ""simple, soul-satisfying dishes"" in her new cookbook, ""Cooking From Scratch,"" while discussing the journey to writing it (including going through a divorce and the cathartic nature of cooking), honoring the ancestors who inspired it, and the cultural staples that make up the recipes in the work.","#EFOC2026, #FW, #FW0703",,VOD,,,,,,,,,
9,https://www.essence.com/video/at-your-service-celebrating-black-women-in-hospitality-curated-by-chef-nina-compton/,,,,Front of House Femmes OR At Your Service: Celebrating Black Women in Hospitality Curated by Chef Nina Compton,"NOLA hospitality intergenerational panel. Behind every unforgettable dining experience is a hospitality professional who knows how to make guests feel welcome, valued, and at home. In this inspiring intergenerational conversation, New Orleans hospitality leaders Arkesha Baquet of Lil Dizzy's Cafe, Effie of Dakar NOLA, and Zoe Chase, fifth-generation steward of the legendary Dooky Chase's Restaurant, come together to discuss the art of hospitality, preserving family legacies, and creating spaces where culture and community thrive.
Spanning generations and perspectives, this conversation explores the vital role Black women play in shaping New Orleans' hospitality industry while honoring the traditions, resilience, and excellence that continue to define the city's dining culture. From family-owned institutions to modern culinary destinations, these women are carrying forward a legacy of service while helping to shape the future of hospitality.","#EFOC2026, #FW, #FW0703",,VOD,,,,,,,,,
,https://www.essence.com/wp-admin/post.php?post=1057116&action=edit,,ESSENCE Stage™,,,,,,,,,,,,,,,
1,https://www.essence.com/video/nola-cultural-opening-mardi-gras-indians/,,,,NOLA Cultural Opening: Mardi Gras Indians,"The Essence Festival of Culture opens the way New Orleans has always opened everything that matters: with sound, with movement, with a community dressed in its finest and ready to celebrate. The suits. The chanting. The call-and-response that fills a room and reminds you exactly where you are. As intricate beadwork catches the light and a brass band carries the energy forward, the Essence main stage comes alive in a celebration that is loud, intentional, and deeply rooted in the culture of this city.
This is how we open. This is how we begin.","#EFOC2026, #ES, #ES0703",,Streaming & VOD,"Headliner: Big Chief + suit council + percussion
XFN Talent: Flag Boy Giz (Wild Tchop) — Christina to add; Queen Taj (featured on cover)",,3/7/2026 10:00,3/7/2026 10:20,,,,,
2,https://www.essence.com/video/dont-get-quiet-now-protecting-your-voice-in-the-age-of-misinformation/,,,xal660u,Don't Get Quiet Now: Protecting Your Voice In The Age Of Misinformation,"The era of mis and disinformation, being outspoken/having a voice. Maintaining your First Amendment Right in the Trump era. How to not feel dejected ahead of the midterms.","#EFOC2026, #ES, #ES0703",,Streaming & VOD,"SUGGESTED TALENT: Marley Dias (via Actum) and Lynae Vanee, Anna Malaika Tubbs



",,3/7/2026 10:30,3/7/2026 10:50,,,,,
3,https://www.essence.com/video/the-beauty-we-inherit/,,,xal65py,The Beauty We Inherit,"A founder-led conversation on the rituals, wisdom, and community truths that shape what Black women build and carry forward.","#EFOC2026, #ES, #ES0703",,Streaming & VOD,"Desiree Rogers + Janell Stephens
",,3/7/2026 11:00,3/7/2026 11:20,,,,,
4,https://www.essence.com/video/in-conversation-with-essence-dr-bernice-king-and-dr-ilyasah-shabazz/↗,,,xal7j8a,In Conversation with ESSENCE: Dr. Bernice King and Dr. Ilyasah Shabazz,"An unforgettable conversation, two living legacies share one stage. Join Dr. Bernice King and Dr. Ilyasah Shabazz, daughters of Dr. Martin Luther King Jr. and Malcolm X, for a powerful discussion moderated by entrepreneur, community leader, and Actively Black founder Lanny Smith.

Together, they will reflect on the enduring impact of their fathers' work, the responsibility of carrying forward those legacies, and how they have forged their own paths as leaders, advocates, and changemakers. Through personal stories and candid reflections, Dr. King and Dr. Shabazz will discuss navigating racial injustice, division, and uncertainty while remaining grounded in faith, purpose, hope, and action.

Timely, inspiring, and deeply relevant, this historic conversation explores leadership, resilience, and the ongoing pursuit of justice while challenging us to consider how we honor the past, lead in the present, and empower the next generation to create meaningful change.","#EFOC2026, #ES, #ES0703",,Streaming & VOD,"Dr. Bernice King, Dr. Ilyasah Shabazz
Moderator: Lanny Smith, Actively Black",,3/7/2026 11:30,3/7/2026 11:50,,,,,
5,https://www.essence.com/wp-admin/post.php?post=1059577&action=edit,,,xal7ycm,"Are We Addicted to the Aesthetic? The Truth Behind Hookah, Vaping, and Nicotine in Our Communities
Presented by Truth Initiative","The question isn't whether hookah and vaping are popular—the question is why. Attendees will leave with a deeper understanding of how nicotine has been woven into culture, what the real health impacts are, and how we can collectively reimagine wellness, freedom, and community beyond the smoke.","#EFOC2026, #ES, #ES0703",Truth Initiative,Streaming & VOD,"Dr. Eddie Hackler
Cardiologist and Health Advocate

Dr. Chris T. Pernell
Director, Center for Health Equity, NAACP

Dr. Kendric D. Dartis
Vice President, Outreach & Engagement, Truth Initiative",,3/7/2026 12:00,3/7/2026 12:20,,,,,
7,https://www.essence.com/wp-admin/post.php?post=1059581&action=edit,,,xal7obm,End Zone: ESPN Women Defining the Game,"From NFL culture shifts to the road to the Super Bowl, this conversation spotlights the voices reshaping football and breaking barriers.","#EFOC2026, #ES, #ES0703",,Streaming & VOD,"Sponsor: Disney
Kimberly A. Martin, Sheila Matthews
Moderator: Deja Vu Parker",,3/7/2026 13:00,3/7/2026 13:20,,,,,
8,https://www.essence.com/video/therapy-irl-check-in-sis/,,,xal7n6u,"Therapy IRL: Check In, Sis","ESSENCE’s Therapy IRL column brought to life. Anderson is the designated Therapy IRL physician. Through an interactive, “Raise your hand if” approach, Therapy IRL creates a safe, collective space where the audience checks in together.","#EFOC2026, #ES, #ES0703",,Streaming & VOD,"""Cultural Co-Host: TBD (In-House)
Anchor: Dr. Riana Elyse Anderson
XFN Co-Host Alts: Dr. Raquel Martin; Dr. Mimi""",,3/7/2026 13:35,3/7/2026 13:55,,,,,
9,https://www.essence.com/wp-admin/post.php?post=1059583&action=edit,,,,A Prime Preview | Ride or Die + Neagley,"Two powerhouse women. Two highly anticipated Prime Video action titles. One can’t miss stage.
Academy Award® winner Octavia Spencer and rising star Marie Sten take the mainstage together for an electrifying preview of what's next from Prime Video. Spencer pulls back the curtain on Ride or Die, the adrenaline-fueled action-thriller that marks a bold new chapter in her career, while Sten gives audiences a first look at what it takes to embody the fiercely formidable Neagley in the latest expansion of the Reacher universe. Expect exclusive reveals, behind-the-scenes stories, and the kind of energy only these two can bring.","#EFOC2026, #ES, #ES0703",AMAZON,Streaming & VOD,"Octavia Spencer, Maria Sten
Moderator: Amanda Baker-Lane",,3/7/2026 14:10,3/7/2026 14:30,,,,,
10,https://www.essence.com/wp-admin/post.php?post=1059586&action=edit,,,xal84qm,"POWER MOVE: Louisiana Women Who Build, Lead, and Win","Economic development in Louisiana has historically been told through the lens of numbers — jobs created, contracts awarded, dollars invested. This panel reframes that story. It puts the women behind those numbers center stage and asks: What does it take to close a deal that changes a city? What does it look like to build an ecosystem that includes the people who are usually left out? And what is the real cost — and reward — of showing up in rooms that weren’t built for you?","#EFOC2026, #ES, #ES0703",Sponsor: Louisiana Economic Development (LED),Streaming & VOD,"Mandi D. Mitchell
Mayor Helena Moreno (Pending)
Shamelda Pete
Jasmine Brown DeRousselle
Mderator: Barkue Tubman-Zawolo ",,3/7/2026 14:45,3/7/2026 15:05,,,,,
11,https://www.essence.com/video/instantly-iconic-from-reality-tv-rookie-to-fan-favorite/,,,,Instantly Iconic: From Reality TV Rookie to Fan Favorite,"What is it like to join an established cast or to be a part of a spinoff and shake the table by being authentically you? These ladies share what it takes, who their favorite cast members and least favorite cast members have been, reunion pains and answer audience questions.","#EFOC2026, #ES, #ES0703",,Streaming & VOD,,,3/7/2026 15:20,3/7/2026 15:40,,,,,
12,https://www.essence.com/video/we-love-us-runway/,,,,*WE LOVE US RUNWAY ,"Runway show. 30 min  
(exception). Friday closer.  
Highest energy ending.
","#EFOC2026, #ES, #ES0703",,Streaming & VOD,Talent: Designer lineup; models; DJ,,3/7/2026 15:20,3/7/2026 15:40,,,,,
,,,New Voices Entrepreneur Hub,,,,,,,,,,,,,,,
1,https://www.essence.com/video/you-were-designed-for-this-build-a-life-that-supports-your-business/↗,,,,You Were Designed For This: Build a Life That Supports Your Business,"What if the real challenge isn’t your business—but whether your life is structured to support it?

In this interactive session, executive coach Maria Casanova Brown brings over 25 years of experience to help founders rethink how they live, work, and lead. Instead of pushing for more output, this session focuses on building the capacity, clarity, and alignment needed for sustainable growth.

Attendees will walk away with a practical framework to align their time, energy, and priorities—so their business can grow without constant burnout or pressure.","#EFOC2026, #NVEH, #NVEH0703",,VOD,"Host: Maria Casanova, RISE Well Solutions",,,,,,,,
